City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
11,Elizabeth City,US,79.84,scattered clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
13,Santa Marta,CO,86.05,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
18,Bandarbeyla,SO,77.09,overcast clouds,9.4942,50.8122,JABIR HOTEL
19,Alexandria,EG,76.96,clear sky,31.2156,29.9553,Royal Crown Hotel
20,Atuona,PF,77.43,scattered clouds,-9.8,-139.0333,Villa Enata
22,Bafq,IR,86.85,clear sky,31.6128,55.4107,Alamdar Hotel
23,Kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Progreso,MX,78.91,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
25,Puerto El Triunfo,SV,83.32,overcast clouds,13.2833,-88.55,Hotel Jardin
28,Bethel,US,77.16,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
34,Buala,SB,86.29,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
35,Bengkulu,ID,75.58,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
36,Hamilton,US,83.77,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
39,Sri Aman,MY,77.09,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
40,Ponta Do Sol,PT,76.12,clear sky,32.6667,-17.1,Hotel do Campo
44,Hasaki,JP,88.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
47,Nola,IT,79.21,clear sky,40.922,14.5329,Palazzo Giordano Bruno
60,Anloga,GH,75.36,broken clouds,5.7947,0.8973,Pin Drop Hotel
62,Mocajuba,BR,77.79,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
63,Butaritari,KI,81.54,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Daru,PG,79.57,overcast clouds,-9.0763,143.2092,Daru Lodge
78,Bubaque,GW,79.65,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
81,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
84,Talnakh,RU,78.62,overcast clouds,69.4865,88.3972,Talnakh Hotel
85,Hithadhoo,MV,81.39,overcast clouds,-0.6,73.0833,Scoop Guest House
89,Faanui,PF,79.36,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
92,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
95,Acajutla,SV,79.68,light rain,13.5928,-89.8275,Laureles
97,Shiraz,IR,76.44,clear sky,29.6036,52.5388,Shams Hotel
99,Mount Pleasant,US,82.99,mist,32.7941,-79.8626,Best Western Patriots Point
106,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
112,Avera,US,82.83,scattered clouds,33.194,-82.5271,
117,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
119,Garh Maharaja,PK,84.69,overcast clouds,30.8339,71.9053,Zaki Pansar Shop
120,Estelle,US,84.97,clear sky,29.8458,-90.1067,Ohio
121,Alcudia,ES,81.37,clear sky,39.8532,3.1214,Zafiro Tropic
124,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
127,Sikeston,US,87.73,clear sky,36.8767,-89.5879,Drury Inn & Suites Sikeston
128,Jha Jha,IN,84.06,overcast clouds,24.7667,86.3667,"Sahdev Das, krishna Das Building 🏢"
133,Naze,JP,81.93,overcast clouds,28.3667,129.4833,Shishime Hotel
136,Srivardhan,IN,77.54,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
138,Cururupu,BR,75.27,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
139,Chalmette,US,81.57,few clouds,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
140,Hirara,JP,89.87,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
141,Kavaratti,IN,80.91,overcast clouds,10.5669,72.642,Green leaf
142,Katsuura,JP,82.17,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
143,Sinnamary,GF,78.12,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
154,Baybay,PH,85.8,moderate rain,10.6833,124.8333,Palermo Hotel
157,Balaipungut,ID,80.53,overcast clouds,1.05,101.2833,
158,Palmer,US,81.95,broken clouds,42.1584,-72.3287,Wedgewood Motel
162,Puro,PH,85.5,overcast clouds,12.4841,123.3827,
167,Isangel,VU,80.94,clear sky,-19.55,169.2667,Tanna Lodge
169,Palatka,US,80.04,overcast clouds,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
171,High Rock,BS,82.42,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
173,Belleville,CA,78.66,few clouds,44.1788,-77.3705,Ramada by Wyndham Belleville Harbourview Conference Centre
175,Kapoeta,SS,76.1,broken clouds,4.7717,33.5903,Eastgate Hotel
177,Nyurba,RU,76.66,few clouds,63.2842,118.3319,"Гостиница ""Comfort"""
179,Gizo,SB,84.7,clear sky,-8.103,156.8419,Imagination Island
180,Calabozo,VE,77.0,broken clouds,8.9242,-67.4293,Hotel Giardini
184,Lazaro Cardenas,MX,81.48,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
188,Sao Miguel,BR,77.77,scattered clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
189,Saint Anthony,US,76.89,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
190,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
196,Santarem,BR,77.13,clear sky,-2.4431,-54.7083,Hotel Imperador
197,Maningrida,AU,81.5,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
205,Tyup,KG,75.76,clear sky,42.7276,78.3648,"Yurtochnyy Gorodok ""Ybrayym-Nur"""
206,Hilo,US,82.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
209,Adrar,MR,86.45,scattered clouds,20.5022,-10.0711,
211,Dicabisagan,PH,87.89,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
216,Berdigestyakh,RU,77.31,few clouds,62.0989,126.6992,
217,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
218,Biak,ID,79.23,broken clouds,-0.9131,122.8766,Penginapan Kim
221,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
224,Machico,PT,77.13,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
225,Aransas Pass,US,87.84,scattered clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
227,Wajima,JP,79.48,broken clouds,37.4,136.9,Wajiima Onsen Yashio
228,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
230,Manaus,BR,82.89,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
231,Vega De Alatorre,MX,82.44,overcast clouds,20.0333,-96.6333,Hotel D Luxe
232,Khandyga,RU,78.57,clear sky,62.6667,135.6,Apel'sin
