City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lima,PE,-12.0432,-77.0282,60.91,84,75,8.05,broken clouds
1,Taoudenni,ML,22.6783,-3.9836,96.98,8,0,15.23,clear sky
2,Rikitea,PF,-23.1203,-134.9692,73.18,62,6,4.7,clear sky
3,Yellowknife,CA,62.456,-114.3525,72.12,46,20,17.27,few clouds
4,Vaini,TO,-21.2,-175.2,75.36,78,40,10.36,scattered clouds
5,Mataura,NZ,-46.1927,168.8643,46.47,66,3,0.22,clear sky
6,Puerto Ayora,EC,-0.7393,-90.3518,68.59,79,47,7.85,scattered clouds
7,Alta Floresta,BR,-9.8756,-56.0861,73.74,43,6,3.49,clear sky
8,Ushuaia,AR,-54.8,-68.3,35.26,69,75,21.85,light snow
9,Cape Town,ZA,-33.9258,18.4232,55.38,73,0,11.5,clear sky
10,Hermanus,ZA,-34.4187,19.2345,54.86,62,100,8.77,overcast clouds
11,Elizabeth City,US,36.2946,-76.2511,79.84,78,39,9.4,scattered clouds
12,Qaanaaq,GL,77.484,-69.3632,37.54,99,100,1.72,overcast clouds
13,Santa Marta,CO,11.2408,-74.199,86.05,66,75,2.3,broken clouds
14,Port Lincoln,AU,-34.7333,135.8667,60.08,66,94,15.17,moderate rain
15,Lompoc,US,34.6391,-120.4579,71.74,81,100,17.27,overcast clouds
16,Thompson,CA,55.7435,-97.8558,62.76,59,100,9.22,overcast clouds
17,Port Alfred,ZA,-33.5906,26.891,55.96,76,72,22.01,light rain
18,Bandarbeyla,SO,9.4942,50.8122,77.09,75,91,26.75,overcast clouds
19,Alexandria,EG,31.2156,29.9553,76.96,83,0,8.05,clear sky
20,Atuona,PF,-9.8,-139.0333,77.43,73,43,17.72,scattered clouds
21,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,8.05,broken clouds
22,Bafq,IR,31.6128,55.4107,86.85,15,0,2.17,clear sky
23,Kapaa,US,22.0752,-159.319,85.98,68,40,13.8,scattered clouds
24,Progreso,MX,21.2833,-89.6667,78.91,90,100,3.67,overcast clouds
25,Puerto El Triunfo,SV,13.2833,-88.55,83.32,82,97,0.98,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,33.91,80,0,17.27,clear sky
27,Ostrovnoy,RU,68.0531,39.5131,49.73,94,100,3.0,light rain
28,Bethel,US,41.3712,-73.414,77.16,53,0,4.81,clear sky
29,Klaksvik,FO,62.2266,-6.589,50.54,90,97,21.94,overcast clouds
30,Nikolskoye,RU,59.7035,30.7861,64.8,98,98,4.12,overcast clouds
31,Yar-Sale,RU,66.8333,70.8333,49.33,82,100,19.53,light rain
32,Akcakoca,TR,41.0866,31.1162,65.21,64,0,4.43,clear sky
33,Namibe,AO,-15.1961,12.1522,62.85,90,0,1.14,clear sky
34,Buala,SB,-8.145,159.5921,86.29,64,23,7.7,few clouds
35,Bengkulu,ID,-3.8004,102.2655,75.58,89,100,4.74,light rain
36,Hamilton,US,39.1834,-84.5333,83.77,70,0,6.91,clear sky
37,Port Elizabeth,ZA,-33.918,25.5701,53.1,90,75,12.66,light rain
38,Hobart,AU,-42.8794,147.3294,57.99,70,66,3.74,broken clouds
39,Sri Aman,MY,1.2376,111.4621,77.09,94,40,3.44,moderate rain
40,Ponta Do Sol,PT,32.6667,-17.1,76.12,52,7,2.64,clear sky
41,Leningradskiy,RU,69.3833,178.4167,34.72,94,100,3.91,overcast clouds
